{'DATE/TIME': '17/12/2022 00:10:44', 'COI': 1435120, 'POI': 446201, 'CALL CHNG OI': 640789, 'PUT CHNG OI': 120979, 'PCR': 0.3109154635152461, 'CHPCR': 0.188796936276996, 'OI Difference': -988919}
{'DATE/TIME': '17/12/2022 00:11:11', 'COI': 1435120, 'POI': 446201, 'CALL CHNG OI': 640789, 'PUT CHNG OI': 120979, 'PCR': 0.3109154635152461, 'CHPCR': 0.188796936276996, 'OI Difference': -988919}
{'DATE/TIME': '17/12/2022 00:13:27', 'COI': 975769, 'POI': 717313, 'CALL CHNG OI': 517515, 'PUT CHNG OI': 270512, 'PCR': 0.7351258340857314, 'CHPCR': 0.5227133513038269, 'OI Difference': -258456}
{'DATE/TIME': '19/12/2022 10:43:52', 'COI': 1145964, 'POI': 1210855, 'CALL CHNG OI': 170195, 'PUT CHNG OI': 493542, 'PCR': 1.05662568806699, 'CHPCR': 2.8998619230882223, 'OI Difference': 64891}
{'DATE/TIME': '19/12/2022 10:44:50', 'COI': 885579, 'POI': 1342326, 'CALL CHNG OI': 148023, 'PUT CHNG OI': 562903, 'PCR': 1.5157608750885014, 'CHPCR': 3.802807671780737, 'OI Difference': 456747}
{'DATE/TIME': '19/12/2022 10:45:06', 'COI': 941948, 'POI': 1275635, 'CALL CHNG OI': 152006, 'PUT CHNG OI': 531791, 'PCR': 1.3542520393907094, 'CHPCR': 3.4984869018328224, 'OI Difference': 333687}
{'DATE/TIME': '19/12/2022 10:48:06', 'COI': 941204, 'POI': 1278691, 'CALL CHNG OI': 151262, 'PUT CHNG OI': 534847, 'PCR': 1.3585694493436067, 'CHPCR': 3.535897978342214, 'OI Difference': 337487}
{'DATE/TIME': '19/12/2022 10:48:32', 'COI': 1144560, 'POI': 1221672, 'CALL CHNG OI': 168791, 'PUT CHNG OI': 504359, 'PCR': 1.0673726148039422, 'CHPCR': 2.988068084198802, 'OI Difference': 77112}
{'DATE/TIME': '19/12/2022 10:49:12', 'COI': 1315200, 'POI': 1226273, 'CALL CHNG OI': 178257, 'PUT CHNG OI': 504413, 'PCR': 0.9323851885644769, 'CHPCR': 2.8296953275327197, 'OI Difference': -88927}
{'DATE/TIME': '19/12/2022 10:49:42', 'COI': 1314781, 'POI': 1130279, 'CALL CHNG OI': 178205, 'PUT CHNG OI': 470220, 'PCR': 0.859670926184665, 'CHPCR': 2.638646502623383, 'OI Difference': -184502}
